Nama Wilayah;ADM2_PCODE;Tahun;Long;Lat;Y;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10
Pamekasan;ID3528;2019;113.5252;-7.1051;13.95;6.4;8834;65.94;67.45;7.33;72.37;84.03; 2.26 ; 68.50 ;11407360
Sumenep;ID3529;2019;113.9061;-6.9254;19.48;5.46;9082;66.22;71.22;6.39;68.63;95.19; 2.08 ; 75.33 ;23816439
Kota Kediri;ID3571;2019;112.0178;-7.848;7.16;9.92;12440;78.08;73.96;9.59;95.60;99.85; 4.15 ; 64.81 ;90001516
Kota Blitar;ID3572;2019;112.1609;-8.0955;7.13;10.1;13851;78.56;73.6;10.29;94.82;96.49; 4.54 ; 72.15 ;4832892
Kota Malang;ID3573;2019;112.6326;-7.9666;4.07;10.17;16666;81.32;73.15;10.32;85.20;99.26; 5.88 ; 66.10 ;52334750
Kota Probolinggo;ID3574;2019;113.2037;-7.7764;6.91;8.69;12280;73.27;70.19;9.06;88.32;99.85; 4.25 ; 64.12 ;8338768
Kota Pasuruan;ID3575;2019;112.8999;-7.6469;6.46;9.11;13393;75.25;71.4;9.34;86.86;99.55; 4.89 ; 68.12 ;5964658
Kota Mojokerto;ID3576;2019;112.4401;-7.4705;5.15;10.24;13710;77.96;73.21;10.68;94.89;98.08; 2.63 ; 65.09 ;4985676
Kota Madiun;ID3577;2019;111.53;-7.6311;4.35;11.13;16040;80.88;72.75;11.08;98.06;99.87; 3.96 ; 66.86 ;10623075
Kota Surabaya;ID3578;2019;112.7521;-7.2575;4.51;10.47;17854;82.22;74.13;10.18;93.89;97.65; 5.76 ; 68.76 ;410879306
Kota Batu;ID3579;2019;112.5334;-7.8831;3.81;9.06;12870;75.88;72.54;9.62;92.82;94.99; 2.42 ; 71.22 ;11786650
Pandeglang;ID3601;2019;105.6882;-6.7483;9.42;6.96;8719;64.91;64.49;7.50;51.76;71.93; 8.67 ; 60.88 ;19644125
Lebak;ID3602;2019;106.2522;-6.5644;8.3;6.31;8850;63.88;67.04;6.84;57.60;61.38; 7.96 ; 64.37 ;20810487
Tangerang;ID3603;2019;106.4877;-6.1872;5.14;8.28;12476;71.93;69.79;8.49;81.15;98.20; 8.92 ; 66.07 ;97129166
Serang;ID3604;2019;106.0405;-6.1397;4.08;7.33;10802;66.38;64.47;7.86;76.83;90.20; 10.58 ; 63.30 ;54347488
Kota Tangerang;ID3671;2019;106.6527;-6.2024;4.43;10.65;14860;78.43;71.57;10.83;95.40;100.00; 7.14 ; 64.95 ;110556398
Kota Cilegon;ID3672;2019;106.0111;-6.0025;3.03;9.74;13230;73.01;66.6;9.88;95.17;99.69; 9.64 ; 62.03 ;74228641
Kota Serang;ID3673;2019;106.164;-6.1104;5.28;8.67;13418;72.1;67.83;8.84;83.75;97.14; 8.07 ; 62.74 ;22813096
Kota Tangerang Selatan;ID3674;2019;106.7113;-6.2835;1.68;11.8;15988;81.48;72.41;11.48;97.30;99.87; 4.78 ; 60.57 ;60137014
Kep. Seribu;ID3101;2020;106.5071982;-5.7985266;14.87;8.68;12412;71.63;68.76;9.05;82.27;95.57; 7.37 ; 60.70 ;3706255
Kota Jakarta Selatan;ID3171;2020;106.807915;-6.262654;3.43;11.63;23575;84.72;74.12;11.57;90.07;99.54; 10.79 ; 63.81 ;419262189
Kota Jakarta Timur;ID3172;2020;106.899527;-6.224886;4.16;11.66;17438;82.66;74.47;11.35;97.81;100.00; 9.29 ; 61.98 ;299539955
Kota Jakarta Pusat;ID3173;2020;106.827915;-6.180105;4.51;11.38;17179;81.39;74.11;11.37;90.05;100.00; 10.97 ; 63.73 ;449560751
Kota Jakarta Barat;ID3174;2020;106.76334;-6.167484;4.25;10.63;20468;81.38;73.62;10.74;94.01;99.92; 12.27 ; 64.37 ;316179587
Kota Jakarta Utara;ID3175;2020;106.89255;-6.155492;6.78;10.8;18437;80.29;73.28;10.89;89.58;99.81; 11.79 ; 65.97 ;312114279
Bogor;ID3201;2020;106.6291;-6.5518;7.69;8.3;10317;70.4;71.17;8.55;53.36;92.13; 14.29 ; 62.65 ;154113604
Sukabumi;ID3202;2020;106.9536;-6.8649;7.09;7.07;8823;66.88;70.97;7.82;62.88;79.98; 9.60 ; 61.56 ;46199313
Cianjur;ID3203;2020;107.1957;-7.358;10.36;7.18;7980;65.36;70.13;7.69;51.40;82.73; 11.05 ; 69.26 ;31790758
Bandung;ID3204;2020;107.6215;-7.1341;6.91;8.96;10201;72.39;73.53;9.27;67.27;95.87; 8.58 ; 62.20 ;81059064
Garut;ID3205;2020;107.7636;-7.5012;9.98;7.52;7876;66.12;71.41;7.99;46.42;81.86; 8.96 ; 61.11 ;38598145
Tasikmalaya;ID3206;2020;108.1429;-7.6513;10.34;7.35;7852;65.67;69.47;7.94;51.45;85.17; 7.12 ; 69.54 ;24344857
Ciamis;ID3207;2020;108.3493;-7.3321;7.62;7.7;9288;70.49;71.83;8.02;69.20;89.40; 5.66 ; 71.41 ;21970410
Kuningan;ID3208;2020;108.5701;-7.0138;12.82;7.57;9459;69.38;73.59;8.23;83.92;93.37; 11.22 ; 61.98 ;16882759
Cirebon;ID3209;2020;108.4751;-6.6899;11.24;6.92;10342;68.75;71.99;7.83;83.23;96.12; 11.52 ; 63.79 ;33304494
Majalengka;ID3210;2020;108.2852;-6.7791;11.43;7.27;9521;67.59;70.27;7.99;79.44;97.19; 5.84 ; 69.66 ;21754535
Sumedang;ID3211;2020;107.9532;-6.8329;10.26;8.51;10217;71.64;72.43;9.04;92.43;94.96; 9.89 ; 68.96 ;23665007
Indramayu;ID3212;2020;108.3258;-6.3373;12.7;6.3;9859;67.29;71.63;6.98;88.86;98.14; 9.21 ; 69.53 ;59200002
Subang;ID3213;2020;107.7636;-6.3488;9.31;7.1;10790;68.95;72.35;7.63;81.14;97.78; 9.48 ; 66.70 ;28342555
Purwakarta;ID3214;2020;107.4322;-6.5649;8.27;8.09;11614;70.82;70.99;8.52;83.21;80.37; 11.07 ; 60.91 ;45293243
Karawang;ID3215;2020;107.3376;-6.3227;8.26;7.77;11315;70.66;72.15;8.35;78.14;97.62; 11.52 ; 64.90 ;157710593
Bekasi;ID3216;2020;107.1485;-6.2474;4.82;9.12;11241;74.07;73.68;9.80;88.82;98.23; 11.54 ; 64.23 ;242959086
Kab Bandung Barat;ID3217;2020;107.492;-6.8652;10.49;8.19;8455;68.08;72.34;8.67;71.47;93.26; 12.25 ; 59.91 ;30640409
Kota Bogor;ID3271;2020;106.806;-6.5971;6.68;10.33;11564;76.11;73.61;10.28;69.86;99.02; 12.68 ; 60.81 ;32162742
Kota Sukabumi;ID3272;2020;106.93;-6.9277;7.7;9.59;10999;74.21;72.42;9.75;34.93;96.84; 12.17 ; 55.74 ;8534717
Kota Bandung;ID3273;2020;107.6191;-6.9175;3.99;10.75;16887;81.51;74.28;10.82;51.39;98.43; 11.19 ; 64.71 ;193144954
Kota Cirebon;ID3274;2020;108.5523;-6.732;9.52;9.91;11800;74.89;72.26;9.92;89.01;99.36; 10.97 ; 63.76 ;16648443
Kota Bekasi;ID3275;2020;106.9756;-6.2383;4.38;11.16;15776;81.5;75.01;11.32;93.90;99.74; 10.68 ; 64.74 ;67619239
Kota Depok;ID3276;2020;106.7942;-6.4025;2.45;11.28;15281;80.97;74.44;11.34;97.48;100.00; 9.87 ; 63.96 ;48135585
Kota Cimahi;ID3277;2020;107.5413;-6.8841;5.11;10.96;12025;77.83;74.03;10.86;70.05;99.04; 13.30 ; 62.67 ;22340562
Kota Tasikmalaya;ID3278;2020;108.2172;-7.3506;12.97;9.33;10263;73.04;72.15;9.60;49.29;94.17; 7.99 ; 66.54 ;15430019
Kota Banjar;ID3279;2020;108.5342;-7.3707;6.09;8.63;10535;71.7;70.99;8.84;89.33;98.88; 6.73 ; 67.35 ;3251705
Cilacap;ID3301;2020;108.9027;-7.6178;11.46;6.97;10440;69.95;73.73;7.55;80.85;93.02; 9.10 ; 67.79 ;90011584
Banyumas;ID3302;2020;109.1404;-7.4832;13.26;7.52;11448;71.98;73.72;8.06;75.24;92.80; 6.00 ; 66.66 ;39121624
Purbalingga;ID3303;2020;109.4259;-7.3059;15.9;7.24;9914;68.97;73.14;7.76;81.24;94.51; 6.10 ; 69.89 ;17182874
Banjarnegara;ID3304;2020;109.6163;-7.3794;15.64;6.74;9263;67.45;74.18;7.25;46.25;85.54; 5.86 ; 69.69 ;15045885
Kebumen;ID3305;2020;109.6525;-7.6681;17.59;7.54;8901;69.81;73.4;7.77;91.95;88.16; 6.07 ; 69.63 ;19527665
Purworejo;ID3306;2020;109.9989;-7.6965;11.78;8.12;10163;72.68;74.72;8.77;83.79;86.82; 4.04 ; 70.05 ;13138294
Wonosobo;ID3307;2020;109.9002;-7.3632;17.36;6.81;10621;68.22;71.82;7.20;48.18;97.74; 5.37 ; 71.26 ;13566176
Magelang;ID3308;2020;110.2832;-7.4305;11.27;7.78;9301;69.87;73.72;8.10;76.91;90.51; 4.27 ; 76.60 ;22865152
Boyolali;ID3309;2020;110.6884;-7.4318;10.18;7.84;12910;74.25;75.95;8.37;92.65;95.08; 5.28 ; 75.11 ;22409733
Klaten;ID3310;2020;110.6646;-7.6579;12.89;8.58;11921;75.56;76.78;9.10;94.68;97.83; 5.46 ; 68.33 ;27480359
Sukoharjo;ID3311;2020;110.8553;-7.6484;7.68;9.34;11325;76.98;77.65;9.72;96.64;99.27; 6.93 ; 68.74 ;26616503
Wonogiri;ID3312;2020;111.046;-7.8846;10.86;7.33;9286;70.25;76.16;7.72;94.47;96.84; 4.27 ; 74.69 ;20563144
Karanganyar;ID3313;2020;111.046;-7.6387;10.28;8.56;11428;75.86;77.47;8.98;96.70;98.53; 5.96 ; 73.55 ;26103228
Sragen;ID3314;2020;111.0092;-7.4303;13.38;7.65;12589;73.95;75.71;8.15;93.27;98.15; 4.75 ; 68.44 ;26367261
Grobogan;ID3315;2020;110.9507;-7.1542;12.46;6.91;10221;69.87;74.75;7.52;87.39;81.60; 4.50 ; 69.77 ;19383027
Blora;ID3316;2020;111.3799;-7.0122;11.96;6.83;9571;68.84;74.41;7.39;87.46;92.41; 4.89 ; 71.90 ;17483887
Rembang;ID3317;2020;111.4276;-6.8082;15.6;7.16;10328;70.02;74.55;7.72;92.68;96.57; 4.83 ; 65.17 ;13409631
Pati;ID3318;2020;111.046;-6.745;10.08;7.44;10390;71.77;76.22;7.99;92.17;94.97; 4.74 ; 63.85 ;30527473
Kudus;ID3319;2020;110.8791;-6.7726;7.31;8.75;11160;75;76.6;9.19;91.81;98.32; 5.53 ; 74.50 ;70961749
